epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       901, 218068.458,    0.005,       0.00037411,       3.8716e-06,       0.00037798,     0.000447,     0.000734,     0.000387,     0.000455,     0.000532,     0.000459,     0.000458,      0.00073,     0.000625,     0.000754,      0.00071,     0.000705,      0.00326,     5.43e-05,        0.0001306,        2.663e-08,       0.00013063,     0.000201,     0.000434,     0.000187,     0.000198,     0.000218,      0.00022,     0.000205,     0.000446,     0.000299,      0.00043,     0.000423,     0.000399,     0.000257,     4.28e-06
       902, 218310.301,    0.005,         0.000226,       1.4594e-06,       0.00022746,     0.000375,     0.000569,     0.000316,     0.000373,     0.000458,     0.000387,     0.000384,     0.000536,     0.000514,     0.000622,     0.000554,     0.000556,       0.0022,     3.67e-05,       0.00010601,       3.4282e-08,       0.00010605,     0.000196,     0.000391,     0.000182,     0.000194,     0.000213,     0.000215,     0.000201,     0.000396,     0.000285,     0.000397,     0.000367,     0.000361,     0.000361,     6.02e-06
       903, 218551.825,    0.005,       0.00027511,       2.5676e-06,       0.00027768,     0.000419,     0.000629,     0.000349,     0.000442,     0.000518,     0.000421,     0.000433,     0.000583,     0.000593,       0.0007,     0.000596,     0.000618,      0.00271,     4.52e-05,       0.00010613,       2.9871e-08,       0.00010616,     0.000198,     0.000391,     0.000184,     0.000198,     0.000216,     0.000213,     0.000203,     0.000393,     0.000287,     0.000401,     0.000369,     0.000363,     0.000314,     5.23e-06
       904, 218793.325,    0.005,       0.00021937,       1.5067e-06,       0.00022088,     0.000366,     0.000562,     0.000318,     0.000357,     0.000438,      0.00036,     0.000368,      0.00055,     0.000469,     0.000596,     0.000513,     0.000532,      0.00205,     3.42e-05,       9.5398e-05,       2.5764e-08,       9.5424e-05,     0.000195,     0.000371,     0.000183,     0.000192,     0.000212,     0.000206,     0.000198,     0.000371,     0.000277,     0.000386,     0.000333,     0.000341,     0.000282,     4.71e-06
       905, 219034.922,    0.005,        0.0004951,       5.9756e-06,       0.00050108,     0.000526,     0.000845,     0.000434,     0.000543,     0.000654,     0.000546,     0.000544,     0.000776,     0.000754,     0.000943,     0.000844,     0.000829,      0.00317,     5.28e-05,        0.0002271,       7.3636e-08,       0.00022718,     0.000252,     0.000573,     0.000229,     0.000266,     0.000277,     0.000295,     0.000266,     0.000575,     0.000429,     0.000569,     0.000634,     0.000552,      0.00057,      9.5e-06
       906, 219276.992,    0.005,       0.00049106,       3.3858e-06,       0.00049444,     0.000483,     0.000841,     0.000402,     0.000485,     0.000593,     0.000529,     0.000502,      0.00079,       0.0007,     0.000913,     0.000888,     0.000823,      0.00291,     4.85e-05,       0.00016198,       2.4203e-08,         0.000162,     0.000214,     0.000484,     0.000195,     0.000216,     0.000236,     0.000241,     0.000222,      0.00048,      0.00034,     0.000495,     0.000506,     0.000455,      0.00025,     4.17e-06
       907, 219519.479,    0.005,       0.00040185,       2.5832e-06,       0.00040443,      0.00049,     0.000761,     0.000409,     0.000465,     0.000601,      0.00053,     0.000501,     0.000718,     0.000623,     0.000829,     0.000765,     0.000733,      0.00284,     4.73e-05,        0.0001316,       3.1019e-08,       0.00013163,     0.000202,     0.000436,     0.000186,     0.000199,     0.000222,     0.000224,     0.000208,     0.000439,       0.0003,     0.000443,     0.000432,     0.000403,     0.000328,     5.46e-06
       908, 219762.249,    0.005,       0.00040389,       6.5443e-06,       0.00041043,     0.000464,     0.000762,     0.000402,     0.000449,     0.000554,     0.000472,     0.000469,     0.000754,     0.000617,     0.000793,     0.000715,      0.00072,      0.00341,     5.69e-05,       0.00014814,       1.1865e-07,       0.00014826,     0.000215,     0.000463,     0.000199,     0.000218,     0.000235,     0.000236,     0.000222,     0.000471,     0.000328,     0.000462,     0.000454,     0.000429,     0.000734,     1.22e-05
       909, 220004.934,    0.005,       0.00047504,       1.9576e-06,       0.00047699,     0.000507,     0.000827,     0.000411,     0.000501,     0.000642,     0.000538,     0.000523,      0.00077,     0.000679,     0.000913,     0.000842,     0.000801,       0.0026,     4.34e-05,       0.00015308,       2.8201e-08,        0.0001531,     0.000211,      0.00047,     0.000194,     0.000214,     0.000231,     0.000237,     0.000219,     0.000471,     0.000334,     0.000478,     0.000481,     0.000441,     0.000277,     4.62e-06
       910, 220247.465,    0.005,       0.00017804,       7.5501e-07,        0.0001788,     0.000317,     0.000506,     0.000273,     0.000306,     0.000376,     0.000355,     0.000328,     0.000486,     0.000411,     0.000536,     0.000535,     0.000492,      0.00162,      2.7e-05,       0.00012992,       3.0093e-08,       0.00012995,     0.000199,     0.000433,     0.000187,     0.000199,     0.000214,     0.000218,     0.000204,     0.000437,      0.00031,     0.000437,     0.000438,     0.000405,     0.000274,     4.57e-06
       911, 220489.956,    0.005,       0.00016737,       9.1355e-07,       0.00016828,     0.000312,     0.000491,      0.00027,     0.000304,     0.000367,     0.000353,     0.000323,     0.000477,     0.000405,     0.000513,     0.000518,     0.000478,      0.00169,     2.81e-05,        0.0001185,       2.7518e-08,       0.00011853,     0.000194,     0.000414,     0.000182,     0.000194,     0.000207,     0.000215,     0.000199,     0.000422,     0.000295,     0.000412,     0.000406,     0.000384,     0.000247,     4.12e-06
       912, 220732.800,    0.005,       0.00030157,       1.9683e-06,       0.00030354,     0.000401,     0.000659,     0.000358,     0.000378,     0.000466,     0.000403,     0.000401,     0.000674,      0.00051,     0.000654,     0.000628,     0.000616,      0.00247,     4.12e-05,       0.00012432,       3.0936e-08,       0.00012435,     0.000198,     0.000424,     0.000187,     0.000192,     0.000211,     0.000214,     0.000201,     0.000436,     0.000293,     0.000419,     0.000408,     0.000389,     0.000299,     4.98e-06
       913, 220975.491,    0.005,       0.00043379,       2.9174e-06,        0.0004367,     0.000498,     0.000791,     0.000399,     0.000518,     0.000629,     0.000557,     0.000526,     0.000731,     0.000709,     0.000871,     0.000823,     0.000784,      0.00292,     4.86e-05,       0.00015833,       4.5138e-08,       0.00015837,     0.000204,     0.000478,     0.000189,      0.00021,     0.000224,     0.000219,      0.00021,     0.000485,     0.000335,     0.000475,     0.000497,     0.000448,     0.000354,      5.9e-06
       914, 221218.353,    0.005,       0.00022313,       1.6222e-06,       0.00022475,     0.000367,     0.000567,     0.000313,     0.000357,      0.00044,     0.000397,     0.000377,     0.000547,     0.000475,     0.000602,     0.000567,     0.000548,      0.00224,     3.73e-05,        0.0001215,        2.359e-08,       0.00012152,     0.000193,     0.000419,      0.00018,     0.000191,     0.000209,     0.000209,     0.000197,     0.000423,     0.000291,     0.000424,     0.000412,     0.000387,     0.000231,     3.85e-06
       915, 221461.088,    0.005,       0.00046218,       3.3303e-06,       0.00046551,     0.000518,     0.000816,     0.000456,     0.000504,       0.0006,     0.000574,     0.000534,     0.000809,      0.00068,     0.000836,     0.000821,     0.000787,      0.00307,     5.12e-05,       0.00014577,       4.4997e-08,       0.00014582,     0.000201,     0.000459,     0.000188,     0.000203,     0.000216,     0.000219,     0.000206,     0.000476,     0.000319,     0.000444,     0.000456,     0.000424,     0.000429,     7.15e-06
       916, 221703.662,    0.005,       0.00026751,       2.4701e-06,       0.00026998,     0.000393,     0.000621,     0.000336,     0.000409,     0.000469,     0.000417,     0.000408,     0.000604,     0.000545,      0.00065,     0.000626,     0.000606,      0.00282,      4.7e-05,       0.00011315,       2.5248e-08,       0.00011317,     0.000192,     0.000404,     0.000179,     0.000193,     0.000208,     0.000204,     0.000196,     0.000412,     0.000291,     0.000405,     0.000381,     0.000372,     0.000267,     4.45e-06
       917, 221946.058,    0.005,       0.00026798,       2.3184e-06,       0.00027029,     0.000394,     0.000622,     0.000334,     0.000412,     0.000477,     0.000403,     0.000407,     0.000595,     0.000543,     0.000666,     0.000612,     0.000604,      0.00268,     4.47e-05,       0.00015928,       3.4838e-08,       0.00015932,     0.000207,      0.00048,     0.000192,     0.000204,     0.000225,     0.000228,     0.000212,     0.000488,      0.00033,     0.000475,     0.000503,     0.000449,     0.000356,     5.94e-06
       918, 222188.688,    0.005,       0.00023221,       1.2002e-06,       0.00023341,     0.000357,     0.000579,     0.000304,     0.000352,     0.000432,     0.000381,     0.000367,     0.000554,     0.000478,     0.000617,     0.000602,     0.000563,      0.00184,     3.07e-05,       0.00013112,       2.2406e-08,       0.00013114,     0.000191,     0.000435,     0.000178,     0.000187,     0.000206,     0.000213,     0.000196,     0.000442,     0.000294,     0.000433,     0.000447,     0.000404,     0.000229,     3.82e-06
       919, 222431.303,    0.005,       0.00042458,       1.9677e-06,       0.00042654,     0.000479,     0.000782,     0.000398,     0.000502,      0.00059,     0.000509,       0.0005,     0.000758,     0.000671,     0.000825,     0.000784,     0.000759,      0.00236,     3.93e-05,       0.00014078,       3.3908e-08,       0.00014081,     0.000198,     0.000451,     0.000184,     0.000205,     0.000215,     0.000219,     0.000206,     0.000471,     0.000307,      0.00043,      0.00046,     0.000417,     0.000297,     4.95e-06
       920, 222673.902,    0.005,       0.00024789,       1.1612e-06,       0.00024905,     0.000386,     0.000596,     0.000322,     0.000424,     0.000475,     0.000397,     0.000404,     0.000562,     0.000568,     0.000649,     0.000566,     0.000586,      0.00192,      3.2e-05,        0.0001245,       2.5376e-08,       0.00012452,     0.000192,     0.000424,     0.000177,     0.000191,      0.00021,     0.000208,     0.000196,     0.000433,     0.000289,     0.000422,     0.000417,      0.00039,     0.000242,     4.04e-06
       921, 222916.430,    0.005,       0.00022158,       2.2406e-06,       0.00022382,     0.000363,     0.000564,     0.000312,     0.000363,     0.000436,      0.00037,      0.00037,     0.000548,     0.000487,     0.000597,     0.000538,     0.000542,      0.00259,     4.31e-05,       0.00010636,       4.1542e-08,        0.0001064,     0.000191,     0.000392,     0.000177,     0.000191,     0.000207,     0.000205,     0.000195,     0.000392,     0.000285,     0.000405,     0.000368,     0.000362,     0.000336,     5.59e-06
       922, 223158.900,    0.005,       0.00040885,       3.4168e-06,       0.00041227,     0.000475,     0.000767,     0.000398,     0.000476,     0.000582,       0.0005,     0.000489,     0.000744,     0.000647,     0.000812,      0.00075,     0.000738,      0.00288,     4.79e-05,       0.00011339,       2.6594e-08,       0.00011342,     0.000193,     0.000405,     0.000177,       0.0002,     0.000211,     0.000214,     0.000201,     0.000408,     0.000291,     0.000411,     0.000392,     0.000375,     0.000278,     4.64e-06
       923, 223401.447,    0.005,       0.00035473,        5.504e-06,       0.00036023,     0.000455,     0.000715,     0.000377,      0.00046,     0.000563,     0.000475,     0.000469,     0.000672,     0.000608,     0.000786,     0.000688,     0.000688,       0.0032,     5.33e-05,       0.00012063,       2.3688e-08,       0.00012065,     0.000196,     0.000417,     0.000181,     0.000191,     0.000216,     0.000212,       0.0002,     0.000423,     0.000287,     0.000422,     0.000398,     0.000383,     0.000243,     4.05e-06
       924, 223643.928,    0.005,       0.00016464,       8.4609e-07,       0.00016548,     0.000319,     0.000487,     0.000274,     0.000301,     0.000385,     0.000328,     0.000322,      0.00047,     0.000398,      0.00052,     0.000468,     0.000464,       0.0016,     2.66e-05,       0.00010472,       2.8675e-08,       0.00010475,     0.000188,     0.000389,     0.000178,     0.000185,     0.000201,     0.000205,     0.000192,     0.000396,     0.000274,     0.000391,     0.000371,     0.000358,     0.000264,      4.4e-06
       925, 223886.510,    0.005,         0.000521,       2.8249e-06,       0.00052383,     0.000554,     0.000866,     0.000463,     0.000564,     0.000685,     0.000547,     0.000565,     0.000816,     0.000777,     0.000947,     0.000824,     0.000841,      0.00297,     4.95e-05,        0.0001574,       2.7084e-08,       0.00015743,     0.000208,     0.000477,     0.000191,     0.000208,     0.000229,     0.000233,     0.000215,     0.000494,     0.000329,     0.000459,     0.000498,     0.000445,     0.000291,     4.85e-06
       926, 224129.201,    0.005,       0.00028168,       2.6508e-06,       0.00028433,     0.000404,     0.000637,      0.00034,     0.000408,      0.00049,     0.000447,     0.000421,     0.000601,     0.000554,     0.000685,     0.000682,      0.00063,      0.00292,     4.87e-05,       0.00013166,       3.0865e-08,       0.00013169,     0.000192,     0.000436,     0.000177,     0.000189,     0.000209,     0.000213,     0.000197,     0.000447,     0.000294,     0.000428,     0.000451,     0.000405,     0.000276,     4.61e-06
       927, 224371.978,    0.005,       0.00023868,       1.8359e-06,       0.00024052,      0.00037,     0.000586,     0.000321,     0.000371,     0.000439,     0.000387,     0.000379,     0.000584,     0.000492,       0.0006,     0.000569,     0.000561,      0.00248,     4.13e-05,       0.00010982,       3.5397e-08,       0.00010985,     0.000188,     0.000398,     0.000175,     0.000186,     0.000203,     0.000202,     0.000191,     0.000407,     0.000277,     0.000396,     0.000389,     0.000367,     0.000304,     5.06e-06
       928, 224614.592,    0.005,       0.00025482,       2.0219e-06,       0.00025684,     0.000388,     0.000606,      0.00033,     0.000395,     0.000469,     0.000408,     0.000401,     0.000594,     0.000518,     0.000636,      0.00057,      0.00058,      0.00247,     4.12e-05,       0.00011592,       3.9505e-08,       0.00011596,      0.00019,     0.000409,     0.000178,     0.000188,     0.000207,     0.000203,     0.000194,     0.000421,     0.000284,     0.000405,     0.000394,     0.000376,     0.000389,     6.48e-06
       929, 224857.260,    0.005,       0.00039363,       3.2445e-06,       0.00039687,     0.000458,     0.000752,     0.000393,      0.00043,     0.000552,     0.000478,     0.000463,     0.000735,      0.00058,     0.000794,      0.00073,      0.00071,      0.00287,     4.78e-05,       0.00012193,        2.466e-08,       0.00012195,     0.000191,      0.00042,     0.000177,     0.000194,     0.000211,     0.000198,     0.000195,     0.000428,     0.000291,     0.000421,       0.0004,     0.000385,     0.000237,     3.95e-06
       930, 225099.830,    0.005,       0.00043566,       2.8428e-06,       0.00043851,     0.000494,     0.000792,     0.000408,     0.000516,     0.000609,     0.000535,     0.000517,     0.000748,     0.000702,     0.000856,     0.000806,     0.000778,      0.00245,     4.08e-05,       0.00013969,       2.8577e-08,       0.00013972,     0.000201,     0.000449,     0.000187,     0.000212,     0.000219,     0.000215,     0.000208,     0.000463,     0.000317,     0.000439,     0.000447,     0.000417,      0.00029,     4.83e-06
       931, 225342.391,    0.005,       0.00027684,       1.5911e-06,       0.00027843,     0.000399,     0.000631,     0.000342,     0.000411,     0.000481,     0.000404,      0.00041,     0.000618,     0.000551,     0.000662,       0.0006,     0.000608,       0.0022,     3.67e-05,       0.00011241,       2.3497e-08,       0.00011244,     0.000191,     0.000403,     0.000178,     0.000194,     0.000207,     0.000203,     0.000196,     0.000413,     0.000288,       0.0004,     0.000386,     0.000372,     0.000244,     4.06e-06
       932, 225584.882,    0.005,       0.00050575,       2.0094e-06,       0.00050776,     0.000517,     0.000854,     0.000435,     0.000542,     0.000626,     0.000571,     0.000543,     0.000826,      0.00073,     0.000898,     0.000882,     0.000834,      0.00259,     4.31e-05,       0.00015883,       2.6331e-08,       0.00015885,     0.000206,     0.000479,     0.000193,     0.000206,     0.000223,     0.000225,     0.000212,     0.000505,     0.000312,     0.000453,     0.000476,     0.000436,     0.000247,     4.12e-06
       933, 225827.335,    0.005,       0.00042735,       7.2418e-06,       0.00043459,     0.000478,     0.000784,     0.000415,     0.000471,     0.000564,     0.000516,     0.000492,     0.000778,     0.000652,     0.000808,     0.000762,      0.00075,      0.00426,     7.09e-05,       0.00015944,       6.4289e-07,       0.00016009,     0.000216,      0.00048,     0.000197,      0.00022,     0.000239,     0.000241,     0.000224,     0.000494,     0.000328,     0.000469,      0.00049,     0.000445,      0.00179,     2.99e-05
       934, 226069.962,    0.005,       0.00031845,       1.7787e-06,       0.00032023,     0.000413,     0.000678,     0.000352,     0.000416,     0.000496,     0.000448,     0.000428,     0.000662,     0.000557,     0.000705,       0.0007,     0.000656,      0.00224,     3.73e-05,       0.00013516,       3.5332e-08,        0.0001352,     0.000196,     0.000442,     0.000182,     0.000193,     0.000213,     0.000217,     0.000201,     0.000453,     0.000297,     0.000438,     0.000436,     0.000406,     0.000283,     4.72e-06
       935, 226312.558,    0.005,       0.00074817,       1.7407e-05,       0.00076557,     0.000549,      0.00104,     0.000455,     0.000536,     0.000686,     0.000564,      0.00056,     0.000936,     0.000899,      0.00118,     0.000987,        0.001,      0.00465,     7.75e-05,       0.00026037,       5.0984e-07,       0.00026088,     0.000298,     0.000613,     0.000271,      0.00028,     0.000333,     0.000332,     0.000304,     0.000631,     0.000409,     0.000602,     0.000611,     0.000563,      0.00156,     2.61e-05
       936, 226555.170,    0.005,        0.0007798,       3.8111e-06,       0.00078361,     0.000613,      0.00106,     0.000522,     0.000638,     0.000719,      0.00074,     0.000655,      0.00103,     0.000895,      0.00109,      0.00122,      0.00106,      0.00318,     5.31e-05,       0.00028285,       3.5848e-08,       0.00028289,     0.000278,     0.000639,     0.000259,     0.000277,     0.000299,     0.000321,     0.000289,     0.000664,     0.000432,     0.000607,     0.000691,     0.000599,     0.000301,     5.02e-06
       937, 226797.729,    0.005,       0.00042463,       2.8082e-06,       0.00042744,     0.000469,     0.000782,     0.000405,      0.00045,     0.000556,     0.000516,     0.000482,     0.000762,     0.000612,     0.000816,     0.000823,     0.000753,      0.00306,      5.1e-05,       0.00019759,       2.7659e-08,       0.00019762,     0.000234,     0.000534,     0.000218,     0.000239,     0.000252,     0.000262,     0.000243,     0.000547,      0.00037,     0.000524,     0.000557,     0.000499,     0.000252,      4.2e-06
       938, 227040.374,    0.005,       0.00025911,       1.1636e-06,       0.00026027,     0.000372,     0.000611,     0.000329,     0.000376,     0.000432,     0.000389,     0.000381,     0.000612,     0.000502,      0.00062,     0.000604,     0.000584,      0.00202,     3.37e-05,       0.00015018,        3.076e-08,       0.00015021,     0.000212,     0.000466,     0.000198,     0.000207,     0.000228,     0.000238,     0.000218,      0.00047,      0.00032,     0.000468,     0.000481,     0.000435,     0.000322,     5.37e-06
       939, 227282.964,    0.005,       0.00023342,       1.7661e-06,       0.00023518,     0.000354,     0.000578,     0.000311,     0.000346,     0.000414,     0.000373,     0.000361,      0.00058,     0.000457,     0.000586,     0.000565,     0.000547,      0.00216,      3.6e-05,       0.00013177,       2.5774e-08,       0.00013179,     0.000202,     0.000436,      0.00019,     0.000193,     0.000217,     0.000222,     0.000205,     0.000442,     0.000292,     0.000439,     0.000435,     0.000402,     0.000257,     4.28e-06
       940, 227525.654,    0.005,       0.00024551,       1.6424e-06,       0.00024715,     0.000379,     0.000594,     0.000334,     0.000365,     0.000444,     0.000389,     0.000383,     0.000585,     0.000487,     0.000618,      0.00058,     0.000567,      0.00221,     3.68e-05,       0.00011664,        2.627e-08,       0.00011667,     0.000195,      0.00041,     0.000184,     0.000191,      0.00021,      0.00021,     0.000199,     0.000412,     0.000283,      0.00042,       0.0004,     0.000379,      0.00026,     4.34e-06
       941, 227768.184,    0.005,       0.00021233,       8.3133e-07,       0.00021316,     0.000358,     0.000553,     0.000308,     0.000329,     0.000435,     0.000359,     0.000358,     0.000531,     0.000432,     0.000598,     0.000521,     0.000521,       0.0016,     2.67e-05,       0.00011231,       2.8018e-08,       0.00011234,     0.000195,     0.000403,     0.000185,      0.00019,     0.000209,     0.000206,     0.000197,     0.000404,     0.000279,     0.000415,     0.000377,     0.000369,     0.000256,     4.26e-06
       942, 228010.399,    0.005,        0.0002348,        1.701e-06,        0.0002365,     0.000357,     0.000581,     0.000314,     0.000372,     0.000415,     0.000373,     0.000369,     0.000589,     0.000504,     0.000581,     0.000554,     0.000557,      0.00213,     3.56e-05,       0.00010638,       2.5193e-08,       0.00010641,     0.000191,     0.000392,      0.00018,     0.000189,     0.000205,     0.000202,     0.000194,     0.000397,     0.000277,     0.000397,     0.000366,     0.000359,     0.000267,     4.45e-06
       943, 228252.736,    0.005,       0.00022184,       1.6786e-06,       0.00022352,     0.000366,     0.000565,     0.000302,     0.000364,     0.000454,     0.000386,     0.000377,     0.000524,     0.000485,     0.000626,     0.000565,      0.00055,      0.00216,      3.6e-05,       0.00011306,       4.2307e-08,       0.00011311,     0.000191,     0.000404,      0.00018,     0.000189,     0.000206,     0.000205,     0.000195,     0.000412,      0.00028,     0.000406,     0.000383,      0.00037,     0.000393,     6.55e-06
       944, 228495.187,    0.005,       0.00031054,       2.0785e-06,       0.00031261,     0.000394,     0.000668,     0.000342,     0.000413,     0.000466,       0.0004,     0.000405,     0.000667,     0.000571,     0.000682,     0.000641,      0.00064,      0.00235,     3.92e-05,       0.00012263,        2.521e-08,       0.00012266,     0.000192,     0.000421,      0.00018,     0.000192,     0.000207,      0.00021,     0.000197,     0.000434,     0.000289,     0.000414,     0.000407,     0.000386,     0.000255,     4.25e-06
       945, 228737.711,    0.005,       0.00023986,        1.303e-06,       0.00024117,     0.000375,     0.000587,     0.000327,     0.000378,     0.000437,     0.000414,     0.000389,     0.000578,     0.000511,     0.000604,     0.000606,     0.000575,      0.00197,     3.28e-05,       0.00010634,         2.41e-08,       0.00010636,     0.000187,     0.000392,     0.000176,     0.000188,     0.000201,     0.000202,     0.000192,     0.000397,     0.000281,     0.000396,     0.000372,     0.000362,     0.000258,      4.3e-06
       946, 228979.988,    0.005,       0.00033021,        1.909e-06,       0.00033212,     0.000433,     0.000679,     0.000367,     0.000434,     0.000524,     0.000465,     0.000447,      0.00066,     0.000599,     0.000713,     0.000672,     0.000661,      0.00231,     3.86e-05,       0.00011354,       2.2497e-08,       0.00011357,      0.00019,     0.000405,     0.000178,     0.000195,     0.000205,     0.000205,     0.000196,     0.000415,     0.000288,     0.000404,     0.000379,     0.000371,     0.000233,     3.88e-06
       947, 229222.403,    0.005,       0.00032797,        1.199e-06,       0.00032917,     0.000443,     0.000686,     0.000368,     0.000423,     0.000559,     0.000417,     0.000442,     0.000637,     0.000564,     0.000771,     0.000614,     0.000647,      0.00207,     3.44e-05,       0.00011497,       3.1498e-08,       0.00011501,     0.000193,     0.000407,     0.000178,     0.000193,     0.000211,     0.000209,     0.000198,     0.000413,     0.000287,     0.000412,     0.000392,     0.000376,     0.000305,     5.08e-06
       948, 229465.011,    0.005,       0.00026655,       1.6256e-06,       0.00026817,     0.000397,      0.00062,     0.000323,     0.000374,     0.000509,     0.000384,     0.000397,     0.000555,     0.000525,     0.000718,     0.000569,     0.000592,      0.00217,     3.61e-05,       0.00010832,        2.941e-08,       0.00010835,     0.000189,     0.000396,     0.000176,     0.000184,     0.000205,     0.000209,     0.000193,     0.000399,     0.000273,     0.000401,     0.000387,     0.000365,     0.000295,     4.92e-06
       949, 229707.422,    0.005,       0.00026959,        1.593e-06,       0.00027118,     0.000371,     0.000603,     0.000318,     0.000356,     0.000446,     0.000386,     0.000377,     0.000589,     0.000479,     0.000636,     0.000587,     0.000573,       0.0019,     3.17e-05,       0.00012509,       2.4389e-08,       0.00012512,     0.000189,     0.000425,     0.000177,     0.000183,     0.000204,     0.000208,     0.000193,     0.000434,     0.000281,     0.000423,     0.000425,     0.000391,     0.000265,     4.41e-06
       950, 229950.031,    0.005,       0.00051598,       8.1802e-06,       0.00052416,     0.000523,     0.000863,     0.000444,      0.00053,     0.000636,     0.000522,     0.000533,      0.00084,      0.00074,     0.000914,     0.000804,     0.000824,      0.00402,     6.71e-05,       0.00015361,       3.6102e-08,       0.00015364,     0.000216,     0.000471,     0.000206,     0.000202,     0.000229,     0.000228,     0.000216,     0.000509,     0.000299,      0.00043,     0.000442,      0.00042,     0.000308,     5.13e-06
       951, 230192.794,    0.005,       0.00022028,        1.411e-06,       0.00022169,     0.000359,     0.000563,     0.000303,     0.000371,     0.000436,     0.000376,     0.000371,     0.000519,     0.000512,     0.000628,     0.000549,     0.000552,      0.00195,     3.24e-05,       0.00011533,       2.9205e-08,       0.00011536,     0.000195,     0.000408,     0.000184,      0.00019,      0.00021,     0.000207,     0.000198,     0.000424,     0.000284,     0.000399,     0.000381,     0.000372,     0.000314,     5.23e-06
       952, 230435.053,    0.005,       0.00038353,       2.4307e-06,       0.00038596,     0.000472,     0.000744,     0.000385,     0.000499,     0.000587,     0.000528,       0.0005,     0.000689,     0.000672,     0.000816,     0.000777,     0.000739,      0.00248,     4.13e-05,       0.00013822,       2.4163e-08,       0.00013825,     0.000195,     0.000447,      0.00018,      0.00019,     0.000214,     0.000219,     0.000201,     0.000459,     0.000299,     0.000438,     0.000461,     0.000414,      0.00025,     4.17e-06
       953, 230676.786,    0.005,        0.0003024,       2.8643e-06,       0.00030526,     0.000421,      0.00066,     0.000342,     0.000457,     0.000526,     0.000459,     0.000446,     0.000598,     0.000606,     0.000741,     0.000688,     0.000658,      0.00278,     4.63e-05,       0.00011164,        3.904e-08,       0.00011168,     0.000192,     0.000401,     0.000178,     0.000192,      0.00021,     0.000208,     0.000197,     0.000407,      0.00028,     0.000405,     0.000387,      0.00037,     0.000332,     5.53e-06
       954, 230919.154,    0.005,       0.00041865,       2.4843e-06,       0.00042114,     0.000452,     0.000776,     0.000391,     0.000436,     0.000536,     0.000484,     0.000462,     0.000763,     0.000618,     0.000807,     0.000778,     0.000742,      0.00239,     3.98e-05,        0.0001228,       3.3983e-08,       0.00012283,     0.000199,     0.000421,     0.000183,       0.0002,     0.000219,     0.000217,     0.000205,     0.000428,     0.000295,     0.000423,     0.000415,      0.00039,      0.00035,     5.84e-06
       955, 231161.699,    0.005,       0.00044091,       2.8029e-06,       0.00044371,     0.000492,     0.000797,      0.00042,     0.000567,     0.000584,     0.000524,     0.000524,     0.000777,      0.00077,     0.000824,     0.000824,     0.000799,      0.00257,     4.29e-05,       0.00015341,       5.4248e-08,       0.00015346,     0.000208,     0.000471,     0.000195,     0.000211,     0.000225,     0.000225,     0.000214,     0.000489,     0.000323,     0.000452,     0.000481,     0.000436,     0.000468,      7.8e-06
       956, 231404.122,    0.005,       0.00017927,       8.2569e-07,        0.0001801,     0.000324,     0.000507,     0.000279,     0.000309,     0.000388,      0.00034,     0.000329,     0.000495,     0.000408,     0.000533,     0.000511,     0.000487,      0.00147,     2.44e-05,       0.00013067,       2.6044e-08,        0.0001307,     0.000191,     0.000434,     0.000179,     0.000187,     0.000205,     0.000207,     0.000195,     0.000452,     0.000295,     0.000417,     0.000439,     0.000401,     0.000255,     4.26e-06
       957, 231646.454,    0.005,       0.00031529,       2.4753e-06,       0.00031777,     0.000415,     0.000674,     0.000359,     0.000409,     0.000494,     0.000425,     0.000422,     0.000667,     0.000552,     0.000699,     0.000652,     0.000642,      0.00252,     4.21e-05,        0.0001244,       3.9284e-08,       0.00012444,     0.000192,     0.000424,     0.000178,     0.000192,     0.000209,     0.000209,     0.000197,     0.000432,     0.000293,     0.000423,     0.000415,     0.000391,     0.000391,     6.52e-06
       958, 231888.889,    0.005,       0.00029697,       4.5196e-06,       0.00030149,     0.000397,     0.000654,     0.000341,     0.000368,     0.000479,     0.000402,     0.000398,      0.00065,     0.000504,     0.000678,     0.000617,     0.000612,      0.00328,     5.47e-05,       0.00011608,       4.1393e-08,       0.00011612,     0.000189,     0.000409,     0.000175,      0.00019,     0.000206,     0.000206,     0.000194,     0.000412,      0.00029,     0.000417,     0.000398,     0.000379,     0.000407,     6.78e-06
       959, 232131.601,    0.005,       0.00027313,       1.5769e-06,       0.00027471,     0.000397,     0.000627,     0.000354,     0.000385,     0.000455,     0.000435,     0.000407,     0.000628,     0.000529,     0.000631,     0.000641,     0.000607,      0.00215,     3.58e-05,        0.0001117,       2.3971e-08,       0.00011172,     0.000187,     0.000402,     0.000174,      0.00019,     0.000202,     0.000205,     0.000193,      0.00041,     0.000287,       0.0004,      0.00039,     0.000372,      0.00025,     4.16e-06
